Match ID,Event,Date,Team 1,Team 2,Map,Team 1 Rounds,Team 2 Rounds,Total Rounds,Winner,Team 1 FK,Team 2 FK,Team 1 Clutches,Team 2 Clutches,Team 1 Rating,Team 2 Rating
32356,ESL One Cologne 2016,2016-07-08 15:00:00,Natus Vincere,Liquid,Cobblestone,6,16,22,Liquid,10,12,1,1,0.78,1.43
32355,ESL One Cologne 2016,2016-07-08 15:00:00,Natus Vincere,Liquid,Nuke,12,16,28,Liquid,16,12,1,4,1.11,1.04
32354,ESL One Cologne 2016,2016-07-08 15:00:00,Natus Vincere,Liquid,Train,16,11,27,Natus Vincere,16,11,1,0,1.14,0.93
32352,ESL One Cologne 2016,2016-07-08 11:45:00,SK,FlipSid3,Nuke,19,17,36,SK,19,17,3,3,1.1,1.02
32351,ESL One Cologne 2016,2016-07-08 11:45:00,SK,FlipSid3,Mirage,16,7,23,SK,14,9,0,1,1.4,0.72
32349,ESL One Cologne 2016,2016-07-08 08:00:00,Virtus.pro,Astralis,Train,19,15,34,Virtus.pro,19,15,2,0,1.04,1.01
32347,ESL One Cologne 2016,2016-07-08 08:00:00,Virtus.pro,Astralis,Overpass,19,17,36,Virtus.pro,20,16,1,1,1.08,1.0
32346,ESL One Cologne 2016,2016-07-07 19:30:00,FaZe,fnatic,Mirage,7,16,23,fnatic,8,14,1,1,0.65,1.39
32345,ESL One Cologne 2016,2016-07-07 19:30:00,FaZe,fnatic,Cache,9,16,25,fnatic,12,13,2,1,0.97,1.17
32344,ESL One Cologne 2016,2016-07-07 17:00:00,Liquid,mousesports,Mirage,16,6,22,Liquid,13,9,1,0,1.26,0.8
32342,ESL One Cologne 2016,2016-07-07 17:00:00,Liquid,mousesports,Cobblestone,16,11,27,Liquid,15,12,2,1,1.14,0.97
32338,ESL One Cologne 2016,2016-07-07 13:20:00,NiP,FlipSid3,Mirage,11,16,27,FlipSid3,7,20,1,1,0.9,1.22
32337,ESL One Cologne 2016,2016-07-07 13:20:00,NiP,FlipSid3,Cache,2,16,18,FlipSid3,4,14,0,1,0.64,1.49
32336,ESL One Cologne 2016,2016-07-07 13:20:00,NiP,FlipSid3,Overpass,16,14,30,NiP,15,15,1,2,1.09,1.0
32335,ESL One Cologne 2016,2016-07-07 09:00:00,Astralis,Dignitas,Cache,16,14,30,Astralis,19,11,4,2,1.2,0.94
32334,ESL One Cologne 2016,2016-07-07 09:00:00,Astralis,Dignitas,Mirage,16,10,26,Astralis,16,10,1,2,1.31,0.82
32332,ESL One Cologne 2016,2016-07-07 09:00:00,Astralis,Dignitas,Cobblestone,16,19,35,Dignitas,19,16,1,2,1.07,1.06
32327,ESL One Cologne 2016,2016-07-06 18:35:00,G2,fnatic,Train,13,16,29,fnatic,16,12,3,3,1.1,1.03
32326,ESL One Cologne 2016,2016-07-06 16:55:00,SK,FaZe,Cobblestone,16,6,22,SK,19,3,0,3,1.54,0.59
32323,ESL One Cologne 2016,2016-07-06 15:25:00,Envy,mousesports,Train,12,16,28,mousesports,12,16,0,2,0.96,1.08
32322,ESL One Cologne 2016,2016-07-06 14:00:00,Liquid,Virtus.pro,Cobblestone,12,16,28,Virtus.pro,14,14,1,1,1.07,1.13
32321,ESL One Cologne 2016,2016-07-06 12:40:00,FlipSid3,OpTic,Train,16,13,29,FlipSid3,17,12,0,1,1.17,0.93
32320,ESL One Cologne 2016,2016-07-06 11:15:00,Natus Vincere,NiP,Cobblestone,16,12,28,Natus Vincere,16,12,3,1,1.19,0.94
32319,ESL One Cologne 2016,2016-07-06 10:15:00,Dignitas,CLG,Cobblestone,16,1,17,Dignitas,13,4,1,0,1.72,0.47
32318,ESL One Cologne 2016,2016-07-06 09:00:00,Astralis,Gambit,Dust2,6,16,22,Gambit,11,11,1,1,0.84,1.35
